order_id,return_reason
ORD000000,not_returned
ORD000001,poor_fit
ORD000002,size_too_large
ORD000003,quality_defect
ORD000004,not_returned
ORD000005,size_too_small
ORD000006,not_returned
ORD000007,not_returned
ORD000008,not_returned
ORD000009,not_returned
ORD000010,not_returned
ORD000011,not_returned
ORD000012,size_too_small
ORD000013,not_returned
ORD000014,not_returned
ORD000015,poor_fit
ORD000016,not_returned
ORD000017,not_returned
ORD000018,not_returned
ORD000019,not_returned
ORD000020,not_returned
ORD000021,wrong_color
ORD000022,not_returned
ORD000023,not_returned
ORD000024,size_too_small
ORD000025,not_returned
ORD000026,quality_defect
ORD000027,not_returned
ORD000028,not_returned
ORD000029,not_returned
ORD000030,not_returned
ORD000031,not_returned
ORD000032,size_too_small
ORD000033,size_too_large
ORD000034,not_returned
ORD000035,not_returned
ORD000036,not_returned
ORD000037,not_returned
ORD000038,size_too_small
ORD000039,size_too_large
ORD000040,size_too_large
ORD000041,wrong_color
ORD000042,not_returned
ORD000043,size_too_small
ORD000044,not_returned
ORD000045,not_returned
ORD000046,not_returned
ORD000047,not_returned
ORD000048,not_returned
ORD000049,not_returned
ORD000050,not_returned
ORD000051,quality_defect
ORD000052,not_returned
ORD000053,not_returned
ORD000054,not_returned
ORD000055,not_returned
ORD000056,not_returned
ORD000057,wrong_color
ORD000058,changed_mind
ORD000059,not_returned
ORD000060,size_too_small
ORD000061,wrong_color
ORD000062,damaged
ORD000063,wrong_color
ORD000064,not_returned
ORD000065,size_too_large
ORD000066,poor_fit
ORD000067,size_too_small
ORD000068,not_returned
ORD000069,not_returned
ORD000070,size_too_small
ORD000071,not_returned
ORD000072,not_returned
ORD000073,size_too_small
ORD000074,size_too_small
ORD000075,not_returned
ORD000076,not_returned
ORD000077,not_returned
ORD000078,poor_fit
ORD000079,not_returned
ORD000080,size_too_large
ORD000081,not_returned
ORD000082,not_returned
ORD000083,not_returned
ORD000084,not_returned
ORD000085,not_returned
ORD000086,not_returned
ORD000087,not_returned
ORD000088,not_returned
ORD000089,not_returned
ORD000090,not_returned
ORD000091,poor_fit
ORD000092,not_returned
ORD000093,not_returned
ORD000094,not_returned
ORD000095,not_returned
ORD000096,not_returned
ORD000097,size_too_large
ORD000098,not_returned
ORD000099,size_too_large
ORD000100,not_returned
ORD000101,wrong_color
ORD000102,not_returned
ORD000103,not_returned
ORD000104,not_returned
ORD000105,changed_mind
ORD000106,not_returned
ORD000107,not_returned
ORD000108,changed_mind
ORD000109,poor_fit
ORD000110,not_returned
ORD000111,not_returned
ORD000112,size_too_large
ORD000113,size_too_large
ORD000114,not_returned
ORD000115,not_returned
ORD000116,not_returned
ORD000117,not_returned
ORD000118,not_returned
ORD000119,not_returned
ORD000120,not_returned
ORD000121,not_returned
ORD000122,size_too_large
ORD000123,poor_fit
ORD000124,not_returned
ORD000125,not_returned
ORD000126,not_returned
ORD000127,not_returned
ORD000128,not_returned
ORD000129,not_returned
ORD000130,not_returned
ORD000131,not_returned
ORD000132,not_returned
ORD000133,not_returned
ORD000134,not_returned
ORD000135,not_returned
ORD000136,not_returned
ORD000137,not_returned
ORD000138,not_returned
ORD000139,not_returned
ORD000140,not_returned
ORD000141,not_returned
ORD000142,not_returned
ORD000143,not_returned
ORD000144,not_returned
ORD000145,not_returned
ORD000146,not_returned
ORD000147,not_returned
ORD000148,not_returned
ORD000149,size_too_small
ORD000150,not_returned
ORD000151,size_too_small
ORD000152,damaged
ORD000153,not_returned
ORD000154,not_returned
ORD000155,not_returned
ORD000156,not_returned
ORD000157,size_too_small
ORD000158,not_returned
ORD000159,not_returned
ORD000160,size_too_large
ORD000161,not_returned
ORD000162,size_too_small
